"","year(Date)","states","peak","region"
"310",2009,"Arkansas",13036,"arkansas"
"311",2009,"California",7756,"california"
"312",2009,"Colorado",5033,"colorado"
"313",2009,"Connecticut",7965,"connecticut"
"314",2009,"Delaware",9403,"delaware"
"315",2009,"District.of.Columbia",6688,"district of columbia"
"316",2009,"Florida",3760,"florida"
"317",2009,"Georgia",5240,"georgia"
"318",2009,"Hawaii",10816,"hawaii"
"319",2009,"Idaho",15642,"idaho"
"320",2009,"Illinois",7521,"illinois"
"321",2009,"Indiana",10815,"indiana"
"322",2009,"Iowa",6550,"iowa"
"323",2009,"Kansas",5520,"kansas"
"324",2009,"Kentucky",10178,"kentucky"
"325",2009,"Louisiana",10541,"louisiana"
"326",2009,"Maine",6266,"maine"
"327",2009,"Maryland",9110,"maryland"
"328",2009,"Massachusetts",7385,"massachusetts"
"329",2009,"Michigan",8629,"michigan"
"330",2009,"Minnesota",9521,"minnesota"
"331",2009,"Mississippi",7081,"mississippi"
"332",2009,"Missouri",6148,"missouri"
"333",2009,"Montana",6606,"montana"
"334",2009,"Nebraska",5523,"nebraska"
"335",2009,"Nevada",5814,"nevada"
"336",2009,"New.Hampshire",10389,"new hampshire"
"337",2009,"New.Jersey",7704,"new jersey"
"338",2009,"New.Mexico",12088,"new mexico"
"339",2009,"New.York",6798,"new york"
"340",2009,"North.Carolina",6594,"north carolina"
"341",2009,"North.Dakota",11538,"north dakota"
"342",2009,"Ohio",11500,"ohio"
"343",2009,"Oklahoma",15590,"oklahoma"
"344",2009,"Oregon",12359,"oregon"
"345",2009,"Pennsylvania",9238,"pennsylvania"
"346",2009,"Rhode.Island",8907,"rhode island"
"347",2009,"South.Carolina",7533,"south carolina"
"348",2009,"South.Dakota",10446,"south dakota"
"349",2009,"Tennessee",7067,"tennessee"
"350",2009,"Texas",13458,"texas"
"351",2009,"Utah",4433,"utah"
"352",2009,"Vermont",9348,"vermont"
"353",2009,"Virginia",9204,"virginia"
"354",2009,"Washington",9795,"washington"
"355",2009,"West.Virginia",11598,"west virginia"
"356",2009,"Wisconsin",7896,"wisconsin"
"357",2009,"Wyoming",5326,"wyoming"
"358",2010,"Alabama",6209,"alabama"
"359",2010,"Alaska",1653,"alaska"
"360",2010,"Arizona",3657,"arizona"
"361",2010,"Arkansas",4407,"arkansas"
"362",2010,"California",2737,"california"
"363",2010,"Colorado",1131,"colorado"
"364",2010,"Connecticut",1828,"connecticut"
"365",2010,"Delaware",2699,"delaware"
"366",2010,"District.of.Columbia",2752,"district of columbia"
"367",2010,"Florida",2526,"florida"
"368",2010,"Georgia",4199,"georgia"
"369",2010,"Hawaii",2716,"hawaii"
"370",2010,"Idaho",1963,"idaho"
"371",2010,"Illinois",2269,"illinois"
"372",2010,"Indiana",2542,"indiana"
"373",2010,"Iowa",1317,"iowa"
"374",2010,"Kansas",1378,"kansas"
"375",2010,"Kentucky",3794,"kentucky"
"376",2010,"Louisiana",5533,"louisiana"
"377",2010,"Maine",1403,"maine"
"378",2010,"Maryland",3437,"maryland"
"379",2010,"Massachusetts",1459,"massachusetts"
"380",2010,"Michigan",2259,"michigan"
"381",2010,"Minnesota",2463,"minnesota"
"382",2010,"Mississippi",5931,"mississippi"
"383",2010,"Missouri",1624,"missouri"
"384",2010,"Montana",1279,"montana"
"385",2010,"Nebraska",1267,"nebraska"
"386",2010,"Nevada",2255,"nevada"
"387",2010,"New.Hampshire",1514,"new hampshire"
"388",2010,"New.Jersey",2987,"new jersey"
"389",2010,"New.Mexico",3034,"new mexico"
"390",2010,"New.York",3214,"new york"
"391",2010,"North.Carolina",2564,"north carolina"
"392",2010,"North.Dakota",1094,"north dakota"
"393",2010,"Ohio",2459,"ohio"
"394",2010,"Oklahoma",5757,"oklahoma"
"395",2010,"Oregon",2130,"oregon"
"396",2010,"Pennsylvania",3362,"pennsylvania"
"397",2010,"Rhode.Island",1246,"rhode island"
"398",2010,"South.Carolina",2889,"south carolina"
"399",2010,"South.Dakota",1200,"south dakota"
"400",2010,"Tennessee",3391,"tennessee"
"401",2010,"Texas",3968,"texas"
"402",2010,"Utah",1728,"utah"
"403",2010,"Vermont",1159,"vermont"
"404",2010,"Virginia",3349,"virginia"
"405",2010,"Washington",1932,"washington"
