pop,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
34813867,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,75.13,Saudi Arabia,7,9
43849269,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,65.31,Sudan,7,9
16743930,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,Senegal,10,12
5850343,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,Singapore,7,9
7976985,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,54.7,Sierra Leone,7,9
6486201,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,El Salvador,7,9
33938,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,San Marino,6,8
15893219,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,Somalia,7,9
6804596,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,Serbia,6,8
11193729,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,South Sudan,7,9
219161,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,Sao Tome+Principe,7,9
586634,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,Suriname,7,9
5459643,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,Slovakia,6,8
2078932,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,Slovenia,6,8
10099270,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,Sweden,6,8
1160164,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,Swaziland,7,9
42882,36327.232,NA,NA,NA,NA,NA,NA,NA,78.95,Sint Maarten(Dutch),7,9
98340,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,Seychelles,7,9
17500657,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,Syria,7,9
38718,NA,NA,NA,NA,NA,NA,NA,NA,80.22,Turks+Caicos Isl.,7,9
16425859,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,Chad,7,9
8278737,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,Togo,7,9
69799978,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,Thailand,7,9
9537642,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,Tajikistan,7,9
1318442,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,Timor,7,9
1399491,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,Trinidad+Tobago,7,9
11818618,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,Tunisia,7,9
84339067,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,Turkey,7,9
23816775,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,Taiwan,7,9
59734213,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,Tanzania,7,9
